"Plot","Ivesia gordonii","Lupinus argenteus","Elymus lanceolatus","Eriogonum umbellatum","Chaenactis douglasii","Heterotheca villosa","Arenaria congesta","Phacelia hastata","Arnica latifolia","Pseudocymopterus montanus","Penstemon whippleanus","Senecio crassulus","Achnatherum lettermanii","Agoseris glauca","Poa stenantha","Carex siccata","Viola praemorsa","Valeriana acutiloba"
"33R",2,1,8,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"34",0,0,6,5,1,0,0,1,0,0,0,0,0,1,1,0,0,0
"35R",0,0,1,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0
"36",1,0,2,4,0,0,0,0,7,0,0,0,1,2,2,0,0,0
"36R",1,0,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"37",6,4,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"37R",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39R",2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"40",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40R",2,1,2,4,0,5,0,0,0,0,0,0,0,1,5,0,0,0
"41",0,0,2,2,0,3,2,2,0,0,0,1,0,0,0,0,0,0
"41R",0,0,6,6,0,2,0,0,0,1,0,1,2,2,0,0,0,0
"42",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"42R",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"45R",0,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"46",3,1,8,22,0,8,19,1,0,0,0,10,1,12,0,21,3,0
"47",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"47R",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
