?,Plot,Tag,X..cm.,Y..cm.,Offset x,Offset y,Year absent twice,Year seedling dead,Is seedling,Notes
,20,2574,29,14.5,0,-15,NA,2020,1,NA
,20,2616,173.5,181.5,-5,5,NA,2020,1,NA
,20,2618,140.5,153.5,0,5,NA,2020,1,NA
,20,2621,124,96,-5,-5,NA,2020,1,NA
,20,382,12,37,0,5,2020,NA,0,NA
,20,398,55,26,-10,-10,2020,NA,0,NA
,20,426,180,198,-10,-10,2020,NA,0,NA
,21,1895,70,98,0,10,2020,NA,0,NA
,21,2384,136,38,-10,-10,2020,NA,0,Tag in plot 22
,21,2695,35.5,118,5,-5,NA,2020,1,NA
,21,2696,134,11,-5,-5,NA,2020,1,NA
,21,2697,155,193,5,5,NA,2020,1,NA
,21,2698,155,189.5,3,11,NA,2020,1,NA
,21,463,20,155,-10,-10,2020,NA,0,NA
,21,464,34,144,-10,-10,2020,NA,0,NA
,22,1213,190,10,-10,-10,2020,NA,0,NA
,22,2699,54,1,-5,-5,NA,2020,1,NA
,22,2715,158,21.5,1,-2,NA,2020,1,NA
,22,2719,166,37,5,-5,NA,2020,1,NA
,22,2722,123,39,1,-19,NA,2020,1,NA
,22,2724,110,22.5,-5,-5,NA,2020,1,NA
,22,2726,51,7,-5,-5,NA,2020,1,NA
,22,2727,81,51.5,-5,-5,NA,2020,1,NA
,22,2728,44,30.5,-5,-5,NA,2020,1,NA
,22,2729,17,76,5,-5,NA,2020,1,NA
,23,2705,189,35,-5,-5,NA,2020,1,NA
,23,2709,196,50,5.5,0,NA,2020,1,NA
,23,2710,198,78,0,4,NA,2020,1,NA
,23,2712,190,68.5,0,5,NA,2020,1,NA
,23,2713,173,67.5,-5,0,NA,2020,1,NA
,23,2714,182.5,75.5,-1,8,NA,2020,1,NA
,24,2250,181,83,-10,-10,2020,NA,0,NA
,24,2700,1,104,-5,0,NA,2020,1,NA
,24,2730,121.5,6,8,-1,NA,2020,1,NA
,24,2731,101,199,3,0,NA,2020,1,NA
,24,2733,88,196,10,9,NA,2020,1,NA
,26,2628,63,61.5,-5,-5,NA,2020,1,NA
,27,1624,48,110,-10,-10,2020,NA,0,NA
,27,2818,104,13,-5,-5,NA,2020,1,"all dead, All seedlings edge or in eriumb."
,27,2820,65,14,-5,-5,NA,2020,1,"all dead, all in eriumb"
,27,2824,61,113,0,0,NA,2020,1,"all dead, all in eriumb."
,27,532,112,5,-10,0,2020,NA,0,NA
,27,542,24,181,-10,-10,2020,NA,0,NA
,28,2251,18,23,-10,-10,2020,NA,0,NA
,28,599,145,105,0,-10,2020,NA,0,NA
,29,2571,65,187,0,-5,NA,2020,1,All dead
,29,2841,159,1,-10,0,NA,2020,1,All dead inside Elylan
,29,646,80,190,-10,-10,2020,NA,0,NA
,29,658,15,175,-10,-10,2020,NA,0,NA
,31,2701,92,5,-5,-5,NA,2020,1,All dead
,31,2702,106,1,0,-7,NA,2020,1,NA
,31,2704,96,1.5,-1,-5,NA,2020,1,NA
,31,2706,75,27,-5,-5,NA,2020,1,NA
,31,662,42,79,-10,-10,2020,NA,0,NA
,31,678,38,196,-10,-10,2020,NA,0,dead
,31,679,30,160,-10,-10,2020,NA,0,dead
,32,1241,113,22,-10,-10,2020,NA,0,NA
,32,1242,125,59,-5,-5,2020,NA,0,NA
,32,1244,195,125,-10,-10,2020,NA,0,NA
,32,1640,108,36,-5,-5,2020,NA,0,NA
,32,1966,166,68,-10,-10,2020,NA,0,NA
,32,2842,125,61,-5,-5,NA,2020,1,Dead. Blew away.
,32,681,23,28,-10,-10,2020,NA,0,NA
,33,1261,93,169,-10,-10,2020,NA,0,NA
,33,1968,1,35,-10,-10,2020,NA,0,NA
,33,1974,175,112,-10,-10,2020,NA,0,NA
,33,2273,44,162,-10,-10,2020,NA,0,NA
,33,2274,48,168,-10,-10,2020,NA,0,NA
,33,2392,68,200,-10,-10,2020,NA,0,"no blue tag, but will be pulled. Pulled 9/7/20"
,33,2393,191,85,-10,-10,2020,NA,0,"no blue tag, but will be pulled; pulled on (9/7)"
,33,2854,95,134,-5,-5,NA,2020,1,dead
,33,734,100,135,-10,-10,2020,NA,0,NA
,34,1265,41,200,-10,-10,2020,NA,0,NA
,34,2566,122,65,0,5,NA,2020,1,NA
,34,2567,117,60,0,11,NA,2020,1,NA
,34,2568,35,195.7,0,-5,NA,2020,1,NA
,34,2569,79,182,-5,-5,NA,2020,1,NA
,34,2570,102,160,5,-5,NA,2020,1,NA
,36,1280,103,175,-10,-10,2020,NA,0,NA
,36,2395,108,158,0,2,2020,NA,0,NA
,36,2586,112,3,-5,-5,NA,2020,1,All dead
,36,2587,148,9,-5,0,NA,2020,1,NA
,36,2588,156.5,0,5,0,NA,2020,1,NA
,36,2589,133,9,5,0,NA,2020,1,NA
,36,2590,166,24.5,-5,5,NA,2020,1,NA
,36,2591,137,5,-5,-5,NA,2020,1,NA
,36,2592,79,185,-5,-5,NA,2020,1,NA
,36,2593,81,184.5,-6,1,NA,2020,1,NA
,36,2594,81,180,-7,0,NA,2020,1,NA
,36,2638,93,195,0,6,NA,2020,1,NA
,36,2639,81,173,-15,0,NA,2020,1,NA
,36,2641,93,176,3,3,NA,2020,1,NA
,36,776,175,135,-10,-10,2020,NA,0,NA
,37,1314,144,200,-10,-10,2020,NA,0,NA
,37,1665,121,156,-5,-5,2020,NA,0,NA
,37,2023,59,73,-10,-10,2020,NA,0,NA
,37,2398,22,199,-10,-10,2020,NA,0,NA
,37,2399,68,90,-10,-10,2020,NA,0,NA
,37,2609,63,100,-5,-5,NA,2020,1,NA
,37,2610,71,113,-5,-5,NA,2020,1,NA
,37,2611,87,131,-5,-5,NA,2020,1,NA
,37,2612,110.5,115,-5,-5,NA,2020,1,NA
,37,788,30,25,-10,-10,2020,NA,0,NA
,41,1353,134,129,-10,-10,2020,NA,0,NA
,41,1361,184,174,0,-10,2020,NA,0,NA
,41,1672,184,177,-10,-10,2020,NA,0,NA
,41,2056,155,175,-10,-10,2020,NA,0,NA
,41,2630,11.5,9,-5,-5,NA,2020,1,Tag not found
,41,2631,4,26,-5,-5,NA,2020,1,NA
,41,2632,179.5,8.5,-5,-5,NA,2020,1,NA
,41,2633,89.5,35,-5,5,NA,2020,1,NA
