"Year","Plot","Tag","Morphoname","Taxon","Identification.uncertain","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Died.this.census","Died.this.census.final","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Number.of.individuals.represented.by.tag","Length.per.individual..cm.","Height.per.individual..cm.","Notes"
2019,8,"2440","Heterotheca villosa","Heterotheca villosa",1,161,168,-10,-10,0,FALSE,0.5,0.5,0,1,1,,,"Maybe PHAHAS?"
2019,8,"2441","Heterotheca villosa","Heterotheca villosa",1,159,169,-12,0,0,FALSE,0.5,0.5,0,1,1,,,"Maybe PHAHAS?"
2019,8,"2442","Heterotheca villosa","Heterotheca villosa",1,158,171,-10,0,0,FALSE,1.5,0.5,0,1,1,,,"Maybe PHAHAS?"
2019,8,"53","Ivesia gordonii","Ivesia gordonii",0,15,80,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2019,8,"55","Ivesia gordonii","Ivesia gordonii",0,32,135,-10,-10,0,FALSE,17,5.5,3,0,1,,,
2019,8,"78","Eriogonum umbellatum","Eriogonum umbellatum",0,185,65,-10,-10,0,FALSE,34,3,27,0,1,,,
2019,8,"79","Ivesia gordonii","Ivesia gordonii",0,190,80,10,0,0,FALSE,22.5,6.5,10,0,1,,,
2019,8,"81","Ivesia gordonii","Ivesia gordonii",0,96,83,-10,-10,0,FALSE,20,9,2,0,1,,,"flowers eaten by marmot?"
2019,9,"1093","Ivesia gordonii","Ivesia gordonii",0,40,12,-10,-10,0,FALSE,9,6,0,0,1,,,
2019,9,"1094","Lupinus argenteus","Lupinus argenteus",0,192,68,-10,-10,0,FALSE,12.5,8,0,0,1,,,
2019,9,"1766","Chaenactis douglasii","Chaenactis douglasii",0,193,76,-10,-10,0,FALSE,8,4.5,3,0,1,,,
2019,9,"1767","Ivesia gordonii","Ivesia gordonii",0,200,65,-10,-10,0,FALSE,2.5,3,0,0,1,,,
2019,9,"86","Elymus lanceolatus","Elymus lanceolatus",0,186,140,-10,-10,0,FALSE,19.5,15,0,0,1,,,
2019,9,"87","Ivesia gordonii","Ivesia gordonii",0,189,76,-10,-10,0,FALSE,14,6.5,1,0,1,,,
2019,9,"88","Heterotheca villosa","Heterotheca villosa",0,184,17,-10,-10,0,FALSE,10,4.5,1,0,1,,,"Flowers recounted on 14 September by CR"
2019,10,"106","Lupinus argenteus","Lupinus argenteus",0,85,40,10,0,1,TRUE,0,0,0,0,1,,,"dead"
2019,10,"108","Elymus lanceolatus","Elymus lanceolatus",0,101,52,-10,-10,0,FALSE,30,18,0,0,1,,,
2019,10,"1106","Lupinus argenteus","Lupinus argenteus",0,105,83,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2019,10,"1108","Lupinus argenteus","Lupinus argenteus",0,185,95,-10,-10,0,FALSE,4,4,0,0,1,,,"tag found"
2019,10,"1115","Lupinus argenteus","Lupinus argenteus",0,143,190,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2019,10,"112","Ivesia gordonii","Ivesia gordonii",0,119,89,-10,-10,0,FALSE,13,7,4,0,1,,,
2019,10,"114","Eriogonum umbellatum","Eriogonum umbellatum",0,101,103,-10,-10,0,FALSE,11,3,0,0,1,,,
2019,10,"115","Ivesia gordonii","Ivesia gordonii",0,97,110,-10,-10,0,FALSE,18,7.5,19,0,1,,,
2019,10,"1782","Elymus lanceolatus","Elymus lanceolatus",0,76,33,-10,-10,0,FALSE,30,29,0,0,1,,,
2019,10,"1783","Lupinus argenteus","Lupinus argenteus",0,92,20,-10,-10,0,FALSE,4,3,0,0,1,,,
2019,10,"2190","Phacelia hastata","Phacelia hastata",0,26,67,-10,-10,0,FALSE,45,9.5,38,0,1,,,"very happy, CR recounted flowers on 14 September, counted blobs not stalks"
2019,10,"2194","Lupinus argenteus","Lupinus argenteus",0,81,39,-10,-10,0,FALSE,4,4,0,0,1,,,
2019,10,"2195","Lupinus argenteus","Lupinus argenteus",0,88,28,-10,-10,0,FALSE,7,5,0,0,1,,,
2019,10,"2197","Lupinus argenteus","Lupinus argenteus",0,115,59,-5,0,0,FALSE,11.5,9,1,0,1,,,
2019,10,"91","Lupinus argenteus","Lupinus argenteus",0,48,37,-10,0,0,FALSE,13,9.5,1,0,1,,,
2019,10,"96","Lupinus argenteus","Lupinus argenteus",0,71,111,-10,-10,0,FALSE,6,4,0,0,1,,,
2019,10,"97","Lupinus argenteus","Lupinus argenteus",0,55,80,-10,-10,0,FALSE,0.6,1,0,0,1,,,"died back"
2019,10,"98","Lupinus argenteus","Lupinus argenteus",0,55,70,-10,-10,1,TRUE,0,0,0,0,1,,,
2019,11,"1116","Lupinus argenteus","Lupinus argenteus",0,111,51,-10,-10,1,TRUE,0,0,0,0,1,,,"dead tag lost"
2019,11,"1117","Lupinus argenteus","Lupinus argenteus",0,101,58,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2019,11,"116","Ivesia gordonii","Ivesia gordonii",0,74,148,-10,-10,0,FALSE,15,8.5,2,0,1,,,
2019,11,"121","Eriogonum umbellatum","Eriogonum umbellatum",0,90,36,0,10,0,FALSE,19.5,3,15,0,1,,,
2019,11,"1788","Ivesia gordonii","Ivesia gordonii",0,60,63,-10,-10,0,FALSE,11,6,5,0,1,,,
2019,11,"1790","Ivesia gordonii","Ivesia gordonii",0,122,148,-10,-10,0,FALSE,19.5,9,10,0,1,,,
2019,11,"1791","Ivesia gordonii","Ivesia gordonii",0,112,176,-10,-10,0,FALSE,4.5,2.5,0,0,1,,,"fixed y coord"
2019,11,"2206","Lupinus argenteus","Lupinus argenteus",0,64,51,-10,-10,0,FALSE,10,6.5,0,0,1,,,
2019,11,"2207","Lupinus argenteus","Lupinus argenteus",0,68,60,-10,-10,0,FALSE,8.5,5.5,0,0,1,,,
2019,11,"2208","Ivesia gordonii","Ivesia gordonii",0,38,179,-10,-10,0,FALSE,4,3,0,0,1,,,"Height remeasured on 23 Sep 2019"
2019,11,"2209","Lupinus argenteus","Lupinus argenteus",0,125,81,-10,-10,0,FALSE,4.5,4.5,0,0,1,,,
2019,11,"2210","Lupinus argenteus","Lupinus argenteus",0,104,56,-10,-10,0,FALSE,3.5,2,0,0,1,,,
2019,11,"2214","Lupinus argenteus","Lupinus argenteus",0,72,15,-10,-10,0,FALSE,5,4,0,0,1,,,
2019,11,"2215","Lupinus argenteus","Lupinus argenteus",0,73,6,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2019,11,"2443","Phacelia hastata","Phacelia hastata",1,78,24,-10,-10,0,FALSE,0.9,1,0,1,1,,,"Maybe HETVIL"
2019,12,"1119","Eriogonum umbellatum","Eriogonum umbellatum",0,141,89,-10,-10,0,FALSE,2,2,0,0,1,,,
2019,12,"122","Ivesia gordonii","Ivesia gordonii",0,142,169,10,10,0,FALSE,14.5,4.5,6,0,1,,,
2019,12,"123","Ivesia gordonii","Ivesia gordonii",0,135,172,-10,-10,0,FALSE,19,5.5,11,0,1,,,
2019,12,"124","Elymus lanceolatus","Elymus lanceolatus",0,141,93,-10,-10,0,FALSE,23,9,0,0,1,,,
2019,12,"1792","Ivesia gordonii","Ivesia gordonii",0,10,101,-10,-10,0,FALSE,5,3.5,0,0,1,,,
2019,12,"1793","Ivesia gordonii","Ivesia gordonii",0,35,137,-10,-10,0,FALSE,6.5,4.5,3,0,1,,,"should be in last years"
2019,13,"1120","Eriogonum umbellatum","Eriogonum umbellatum",0,10,28,-10,-10,0,FALSE,6,3,0,0,1,,,
2019,13,"1121","Eriogonum umbellatum","Eriogonum umbellatum",0,3,30,-10,-10,0,FALSE,2,1.5,0,0,1,,,
2019,13,"1122","Eriogonum umbellatum","Eriogonum umbellatum",0,36,14,-10,-10,0,FALSE,16.5,3.5,1,0,1,,,
2019,13,"127","Heterotheca villosa","Heterotheca villosa",0,12,22,-10,-10,0,FALSE,39,5.5,2,0,1,,,"CR recounted flowers on 14 September; fairy ring; sparse leaves, has dieback"
2019,13,"128","Elymus lanceolatus","Elymus lanceolatus",0,7,36,-10,-10,0,FALSE,42,34,15,0,1,,,"growing into 130"
2019,13,"129","Eriogonum umbellatum","Eriogonum umbellatum",0,17,14,-10,-10,0,FALSE,9.5,3,1,0,1,,,
2019,13,"130","Elymus lanceolatus","Elymus lanceolatus",0,15,43,0,10,0,FALSE,24,32.5,8,0,1,,,"seems to be growing into 128"
2019,13,"131","Eriogonum umbellatum","Eriogonum umbellatum",0,30,50,-4,-3,0,FALSE,10.5,3,5,0,1,,,"note new offset"
2019,13,"132","Heterotheca villosa","Heterotheca villosa",0,88,114,-10,-10,0,FALSE,22,9,35,0,1,,,"CR recounted flowers on 14 September"
2019,13,"133","Elymus lanceolatus","Elymus lanceolatus",0,105,117,-10,-10,0,FALSE,20,20.5,3,0,1,,,
2019,13,"135","Elymus lanceolatus","Elymus lanceolatus",0,107,123,10,10,0,FALSE,8.5,20.5,1,0,1,,,
2019,13,"136","Elymus lanceolatus","Elymus lanceolatus",0,132,115,-10,-10,0,FALSE,5,7.5,0,0,1,,,
2019,13,"137","Elymus lanceolatus","Elymus lanceolatus",0,135,111,-10,-10,0,FALSE,11,16,1,0,1,,,
2019,13,"139","Eriogonum umbellatum","Eriogonum umbellatum",0,144,49,-10,-10,0,FALSE,46,4,145,0,1,,,"heart shaped"
2019,13,"142","Elymus lanceolatus","Elymus lanceolatus",0,146,52,0,-10,0,FALSE,11,11,0,0,1,,,
2019,13,"143","Elymus lanceolatus","Elymus lanceolatus",0,148,56,0,10,0,FALSE,28,26,9,0,1,,,
2019,13,"144","Elymus lanceolatus","Elymus lanceolatus",0,160,65,10,10,1,TRUE,0,0,0,0,1,,,"dead. Tag found right of plot 18. already put in correct place."
2019,13,"145","Heterotheca villosa","Heterotheca villosa",0,101,21,-5,-5,0,FALSE,10,6,5,0,1,,,"CR recounted flowers on 14 September; new offset; extensive dieback"
2019,13,"1566","Eriogonum umbellatum","Eriogonum umbellatum",0,15,51,-10,0,0,FALSE,5.5,3,0,0,1,,,
2019,13,"2216","Phacelia hastata","Phacelia hastata",0,34,16,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
